;Команда_1;Голы_1;Команда_2;Голы_2;xG_1;xG_2;Удары_1;Удары_2;Удары в створ_1;Удары в створ_2;Блок-но ударов_1;Блок-но ударов_2;Сейвы_1;Сейвы_2;Владение %_1;Владение %_2;Угловые_1;Угловые_2;Нарушения_1;Нарушения_2;Офсайды_1;Офсайды_2;Желтые карточки_1;Желтые карточки_2;Красные карточки_1;Красные карточки_2;Атаки_1;Атаки_2;Опасные атаки_1;Опасные атаки_2;Передачи_1;Передачи_2;Точность передач %_1;Точность передач %_2;Штрафные удары_1;Штрафные удары_2;Вбрасывания_1;Вбрасывания_2;Навесы_1;Навесы_2;Отборы_1;Отборы_2;Раунд;Дата;Время;Кэф_1;Кэф_х;Кэф_2;Градусы;Погода;Зрители;Дома_1;Дома_2;Таргет
50;Оренбург;1;Балтика;0;1.63;1.13;9.0;14.0;3.0;6.0;1.0;5.0;5.0;2.0;50.0;50.0;1.0;3.0;11.0;13.0;3.0;3.0;1.0;1.0;0.0;0.0;67.0;72.0;47.0;51.0;417.0;424.0;77.0;77.0;15.0;14.0;15.0;28.0;18.0;16.0;26.0;18.0;20;2024-03-10;06:00:00;2.16;3.52;3.74;11;переменная облачность;4932.0;1;0;1
51;Динамо Москва;2;Ахмат;0;1.78;1.39;20.0;15.0;9.0;4.0;5.0;1.0;4.0;7.0;63.0;37.0;7.0;3.0;10.0;10.0;0.0;0.0;1.0;3.0;0.0;1.0;94.0;62.0;40.0;29.0;602.0;338.0;83.0;77.0;11.0;10.0;16.0;15.0;16.0;21.0;20.0;17.0;20;2024-03-09;10:00:00;1.84;4.03;4.47;8;солнечно;11509.0;1;0;1
52;Рубин;0;Пари НН;1;0.35;0.93;10.0;8.0;3.0;2.0;1.0;2.0;2.0;4.0;68.0;32.0;6.0;3.0;13.0;13.0;1.0;4.0;1.0;2.0;0.0;0.0;81.0;55.0;53.0;25.0;568.0;271.0;82.0;63.0;16.0;13.0;29.0;16.0;33.0;8.0;14.0;13.0;20;2024-03-09;07:30:00;2.26;3.21;3.82;6;переменная облачность;8292.0;1;0;2
53;Урал;1;Зенит;4;1.05;2.09;9.0;13.0;3.0;5.0;2.0;5.0;1.0;2.0;35.0;65.0;6.0;5.0;8.0;6.0;1.0;0.0;1.0;0.0;0.0;0.0;51.0;54.0;23.0;35.0;328.0;645.0;74.0;86.0;6.0;8.0;11.0;18.0;15.0;12.0;13.0;7.0;20;2024-03-09;05:00:00;6.01;3.96;1.68;7;переменная облачность;10384.0;1;0;2
54;Ростов;2;Краснодар;1;0.26;0.25;17.0;10.0;7.0;2.0;0.0;5.0;1.0;5.0;50.0;50.0;1.0;6.0;18.0;13.0;2.0;1.0;5.0;6.0;0.0;1.0;64.0;65.0;44.0;29.0;415.0833333333333;333.1666666666667;74.83333333333333;70.25;14.0;20.0;14.0;18.0;20.833333333333332;13.833333333333334;13.333333333333334;12.0;20;2024-03-08;09:30:00;2.76;3.31;2.85;19;переменная облачность;16668.0;1;0;1
55;Крылья Советов;0;ЦСКА Москва;2;1.14;1.19;8.0;14.0;7.0;7.0;0.0;3.0;5.0;6.0;60.0;40.0;6.0;4.0;5.0;17.0;1.0;2.0;2.0;3.0;0.0;0.0;71.0;71.0;42.0;33.0;538.0;362.0;82.0;73.0;18.0;7.0;19.0;15.0;20.0;8.0;12.0;13.0;20;2024-03-08;05:00:00;3.21;3.56;2.37;6;переменная облачность;8278.0;1;0;2
56;Балтика;0;ПФК Сочи;0;1.9;1.47;12.0;10.0;2.0;6.0;5.0;0.0;6.0;2.0;40.0;60.0;5.0;4.0;16.0;10.0;0.0;3.0;3.0;2.0;0.0;0.0;98.0;108.0;60.0;58.0;331.0;503.0;71.0;78.0;13.0;15.0;28.0;25.0;16.0;15.0;9.0;13.0;19;2024-03-03;10:00:00;2.79;3.21;2.9;20;солнечно;10701.0;1;0;0
57;Динамо Москва;2;Локомотив Москва;1;1.42;0.27;14.0;7.0;6.0;3.0;4.0;1.0;2.0;3.0;43.0;57.0;3.0;2.0;15.0;11.0;3.0;3.0;3.0;4.0;0.0;0.0;89.0;91.0;39.0;33.0;398.0;540.0;72.0;79.0;13.0;15.0;24.0;24.0;16.0;15.0;19.0;23.0;19;2024-03-03;07:30:00;2.39;3.73;3.03;8;солнечно;14170.0;1;0;1
58;Пари НН;1;Факел;1;0.91;1.45;10.0;6.0;4.0;3.0;2.0;2.0;0.0;3.0;58.0;42.0;6.0;2.0;19.0;20.0;1.0;1.0;3.0;6.0;0.0;0.0;84.0;64.0;30.0;22.0;451.0;330.0;65.0;52.0;21.0;19.0;36.0;28.0;19.0;8.0;8.0;13.0;19;2024-03-03;05:00:00;2.9;3.04;2.93;7;переменная облачность;5195.0;1;0;0
59;Зенит;0;Спартак;0;0.27;0.35;7.0;11.0;2.0;3.0;0.0;3.0;3.0;2.0;62.0;38.0;8.0;4.0;9.0;15.0;3.0;0.0;4.0;4.0;0.0;0.0;74.0;55.0;36.0;25.0;514.0;317.0;85.0;78.0;14.0;11.0;19.0;24.0;28.0;12.0;12.0;9.0;19;2024-03-02;10:30:00;1.65;4.25;5.77;14;солнечно;57858.0;1;0;0
60;Ахмат;1;Урал;0;0.84;0.43;11.0;11.0;2.0;4.0;5.0;4.0;3.0;1.0;54.0;46.0;5.0;5.0;7.0;17.0;5.0;4.0;2.0;2.0;0.0;0.0;96.0;74.0;40.0;36.0;466.0;401.0;80.0;74.0;20.0;12.0;16.0;16.0;19.0;12.0;12.0;10.0;19;2024-03-02;10:00:00;2.25;3.43;3.58;16;местами дождь;5819.0;1;0;1
61;Краснодар;1;Рубин;1;1.34;0.72;16.0;12.0;6.0;6.0;4.0;2.0;4.0;6.0;57.0;43.0;5.0;5.0;13.0;10.0;0.0;4.0;3.0;0.0;0.0;0.0;73.0;75.0;31.0;30.0;525.0;387.0;78.0;74.0;15.0;13.0;30.0;18.0;10.0;10.0;14.0;18.0;19;2024-03-02;07:30:00;1.87;3.71;4.72;21;солнечно;27019.0;1;0;0
62;ЦСКА Москва;1;Оренбург;1;1.09;0.42;16.0;8.0;7.0;5.0;0.0;0.0;4.0;6.0;52.0;48.0;2.0;2.0;11.0;14.0;1.0;2.0;0.0;1.0;0.0;0.0;91.0;83.0;49.0;36.0;503.0;463.0;82.0;81.0;15.0;13.0;21.0;26.0;17.0;10.0;17.0;13.0;19;2024-03-02;05:00:00;1.61;4.42;5.91;8;солнечно;6144.0;1;0;0
63;Ростов;2;Крылья Советов;0;0.93;0.37;14.0;6.0;4.0;2.0;4.0;1.0;2.0;2.0;52.0;48.0;2.0;7.0;12.0;10.0;1.0;8.0;2.0;1.0;0.0;0.0;82.0;68.0;53.0;28.0;434.0;402.0;73.0;73.0;18.0;13.0;19.0;27.0;14.0;10.0;13.0;14.0;19;2024-03-01;10:00:00;2.0;3.37;3.37;19;переменная облачность;8850.0;1;0;1
64;Балтика;0;Рубин;1;1.01;0.66;12.0;10.0;2.0;6.0;7.0;1.0;4.0;3.0;56.0;44.0;7.0;1.0;10.0;9.0;2.0;1.0;2.0;1.0;0.0;0.0;76.0;72.0;43.0;38.0;477.0;393.0;71.0;66.0;10.0;12.0;31.0;24.0;25.0;9.0;16.0;12.0;18;2023-12-10;10:45:00;2.81;3.16;2.92;20;солнечно;6099.0;1;0;2
65;Краснодар;1;ЦСКА Москва;0;0.31;1.12;11.0;17.0;3.0;6.0;2.0;6.0;7.0;2.0;51.0;49.0;7.0;10.0;7.0;9.0;2.0;0.0;3.0;1.0;0.0;0.0;58.0;66.0;25.0;32.0;445.0;418.0;78.0;79.0;10.0;9.0;13.0;13.0;13.0;21.0;13.0;13.0;18;2023-12-10;10:45:00;2.36;3.52;3.25;21;солнечно;32793.0;1;0;1
66;ПФК Сочи;1;Оренбург;1;1.33;0.42;18.0;9.0;2.0;1.0;4.0;2.0;0.0;1.0;41.0;59.0;5.0;4.0;12.0;15.0;1.0;2.0;0.0;4.0;0.0;0.0;85.0;86.0;34.0;49.0;372.0;531.0;76.0;83.0;16.0;14.0;13.0;13.0;10.0;22.0;20.0;11.0;18;2023-12-10;07:30:00;2.13;3.81;3.52;15;небольшой дождь;1968.0;1;0;0
67;Факел;1;Динамо Москва;1;1.74;0.86;14.0;16.0;2.0;6.0;6.0;5.0;5.0;1.0;50.0;50.0;7.0;4.0;12.0;14.0;2.0;0.0;1.0;3.0;0.0;0.0;67.0;59.0;40.0;29.0;391.0;397.0;66.0;64.0;14.0;14.0;19.0;19.0;18.0;11.0;18.0;25.0;18;2023-12-10;05:00:00;3.57;3.57;2.19;18;солнечно;6254.0;1;0;0
68;Зенит;1;Пари НН;0;1.47;0.25;12.0;8.0;8.0;1.0;0.0;4.0;1.0;7.0;62.0;38.0;7.0;3.0;10.0;12.0;2.0;2.0;0.0;0.0;0.0;0.0;62.0;55.0;37.0;31.0;602.0;359.0;87.0;77.0;14.0;13.0;22.0;16.0;11.0;13.0;19.0;21.0;18;2023-12-09;10:45:00;1.21;7.18;19.5;14;солнечно;24951.0;1;0;1
69;Ахмат;0;Ростов;0;1.18;1.11;17.0;12.0;5.0;1.0;2.0;3.0;1.0;4.0;41.0;59.0;8.0;7.0;11.0;15.0;4.0;3.0;3.0;3.0;0.0;1.0;71.0;96.0;43.0;47.0;319.0;459.0;70.0;80.0;17.0;17.0;28.0;15.0;15.0;23.0;13.0;15.0;18;2023-12-09;07:30:00;2.5;3.63;2.94;16;местами дождь;5091.0;1;0;0
70;Спартак;3;Крылья Советов;0;1.8;1.34;15.0;11.0;7.0;3.0;0.0;5.0;2.0;4.0;43.0;57.0;2.0;6.0;12.0;9.0;2.0;6.0;2.0;1.0;0.0;0.0;76.0;85.0;34.0;30.0;391.0;518.0;81.0;84.0;14.0;15.0;12.0;16.0;12.0;26.0;24.0;11.0;18;2023-12-09;05:00:00;1.95;3.98;4.0;8;солнечно;7217.0;1;0;1
71;Локомотив Москва;2;Урал;0;1.87;0.28;10.0;5.0;5.0;0.0;2.0;1.0;0.0;3.0;50.0;50.0;9.0;7.0;10.0;16.0;2.0;2.0;3.0;2.0;0.0;0.0;59.0;81.0;28.0;38.0;452.0;444.0;78.0;73.0;19.0;11.0;17.0;18.0;20.0;22.0;13.0;27.0;18;2023-12-08;10:00:00;1.88;3.71;4.66;8;солнечно;3289.0;1;0;1
72;Динамо Москва;1;Рубин;0;2.54;1.37;14.0;13.0;6.0;3.0;3.0;2.0;3.0;5.0;53.0;47.0;3.0;5.0;10.0;14.0;3.0;3.0;0.0;1.0;0.0;0.0;96.0;80.0;48.0;35.0;522.0;448.0;84.0;81.0;17.0;12.0;11.0;17.0;8.0;16.0;23.0;15.0;17;2023-12-04;10:30:00;1.92;3.91;4.2;8;солнечно;5138.0;1;0;1
73;Ахмат;2;Спартак;1;0.52;0.55;5.0;12.0;3.0;4.0;0.0;7.0;3.0;1.0;36.0;64.0;2.0;8.0;9.0;13.0;1.0;0.0;3.0;2.0;0.0;0.0;73.0;82.0;35.0;49.0;315.0;533.0;72.0;85.0;15.0;10.0;17.0;21.0;6.0;31.0;16.0;20.0;17;2023-12-03;10:00:00;2.72;3.75;2.63;16;местами дождь;4643.0;1;0;1
74;Локомотив Москва;3;Зенит;1;0.85;1.18;9.0;9.0;3.0;3.0;3.0;3.0;2.0;0.0;37.0;63.0;3.0;7.0;12.0;14.0;0.0;1.0;3.0;1.0;0.0;0.0;65.0;82.0;33.0;45.0;300.0;508.0;70.0;82.0;17.0;11.0;19.0;15.0;10.0;21.0;14.0;17.0;17;2023-12-03;08:00:00;3.7;3.7;2.1;8;солнечно;10060.0;1;0;1
75;Краснодар;2;Оренбург;1;1.59;0.82;11.0;10.0;4.0;4.0;3.0;1.0;4.0;2.0;55.0;45.0;7.0;0.0;13.0;15.0;1.0;1.0;2.0;3.0;0.0;0.0;76.0;66.0;28.0;34.0;452.0;374.0;78.0;79.0;15.0;14.0;20.0;16.0;18.0;15.0;17.0;21.0;17;2023-12-03;07:30:00;1.68;4.34;5.23;21;солнечно;16889.0;1;0;1
76;ЦСКА Москва;2;Ростов;0;1.74;1.05;10.0;8.0;5.0;5.0;2.0;0.0;4.0;3.0;46.0;54.0;3.0;5.0;13.0;12.0;2.0;4.0;0.0;2.0;0.0;1.0;78.0;80.0;33.0;33.0;366.0;414.0;60.0;63.0;14.0;15.0;15.0;24.0;10.0;23.0;12.0;14.0;17;2023-12-03;05:00:00;1.94;3.87;4.12;8;солнечно;4791.0;1;0;1
77;Пари НН;1;Урал;0;0.81;0.52;7.0;10.0;2.0;4.0;5.0;2.0;5.0;1.0;49.0;51.0;1.0;6.0;14.0;12.0;2.0;0.0;1.0;1.0;0.0;0.0;68.0;85.0;34.0;40.0;403.0;417.0;75.0;74.0;11.0;15.0;26.0;19.0;14.0;17.0;17.0;17.0;17;2023-12-02;10:30:00;3.04;3.03;2.8;7;переменная облачность;3147.0;1;0;1
78;ПФК Сочи;0;Крылья Советов;2;0.61;2.36;10.0;12.0;1.0;6.0;4.0;2.0;3.0;1.0;49.0;51.0;4.0;8.0;13.0;1.0;3.0;3.0;4.0;1.0;0.0;0.0;72.0;78.0;32.0;37.0;408.0;431.0;79.0;82.0;6.0;16.0;16.0;20.0;20.0;23.0;13.0;10.0;17;2023-12-02;07:30:00;3.03;3.6;2.45;15;небольшой дождь;2637.0;1;0;2
79;Факел;0;Балтика;0;0.24;0.46;7.0;5.0;3.0;0.0;4.0;2.0;0.0;2.0;57.0;43.0;6.0;3.0;17.0;21.0;5.0;1.0;1.0;3.0;0.0;0.0;54.0;43.0;31.0;22.0;351.0;265.0;58.0;45.0;22.0;21.0;33.0;26.0;25.0;14.0;11.0;15.0;17;2023-12-02;05:00:00;2.33;3.1;3.79;18;солнечно;8279.0;1;0;0
80;Ростов;1;Пари НН;0;1.32;0.14;10.0;6.0;3.0;2.0;5.0;1.0;2.0;2.0;66.0;34.0;3.0;4.0;18.0;12.0;1.0;2.0;3.0;4.0;0.0;0.0;72.0;58.0;37.0;27.0;534.0;263.0;81.0;64.0;13.0;19.0;18.0;23.0;12.0;18.0;13.0;12.0;16;2023-11-26;10:00:00;1.82;3.75;5.02;19;переменная облачность;6941.0;1;0;1
81;Рубин;1;Факел;0;0.55;0.95;12.0;6.0;7.0;0.0;3.0;2.0;0.0;4.0;43.0;57.0;4.0;3.0;16.0;12.0;0.0;2.0;3.0;1.0;0.0;0.0;61.0;82.0;39.0;45.0;364.0;499.0;68.0;75.0;14.0;14.0;26.0;23.0;15.0;13.0;13.0;18.0;16;2023-11-26;07:30:00;2.32;3.22;3.64;6;переменная облачность;3725.0;1;0;1
82;Урал;3;Краснодар;1;1.39;0.63;15.0;3.0;6.0;1.0;4.0;0.0;0.0;4.0;39.0;61.0;3.0;3.0;13.0;14.0;1.0;0.0;1.0;4.0;0.0;0.0;59.0;68.0;32.0;35.0;368.0;578.0;73.0;81.0;15.0;14.0;13.0;10.0;18.0;9.0;11.0;9.0;16;2023-11-26;05:00:00;3.63;3.54;2.19;7;переменная облачность;5155.0;1;0;1
83;Оренбург;1;Ахмат;1;0.87;1.41;11.0;13.0;4.0;3.0;0.0;0.0;1.0;2.0;66.0;34.0;8.0;4.0;16.0;13.0;1.0;0.0;5.0;5.0;0.0;0.0;78.0;56.0;52.0;36.0;461.0;232.0;82.0;65.0;9.0;9.0;16.0;11.0;23.0;15.0;22.0;21.0;16;2023-11-26;03:00:00;2.17;4.0;3.29;11;переменная облачность;2420.0;1;0;0
84;Балтика;0;Спартак;2;2.32;2.05;12.0;15.0;4.0;6.0;2.0;5.0;5.0;3.0;53.0;47.0;11.0;5.0;7.0;13.0;3.0;1.0;1.0;2.0;0.0;0.0;73.0;66.0;46.0;40.0;239.0;229.0;50.0;53.0;14.0;10.0;12.0;16.0;25.0;9.0;23.0;14.0;16;2023-11-25;10:45:00;3.12;3.54;2.43;20;солнечно;16267.0;1;0;2
85;ЦСКА Москва;2;Динамо Москва;3;1.92;1.99;20.0;19.0;6.0;6.0;3.0;9.0;1.0;5.0;55.0;45.0;2.0;8.0;7.0;13.0;1.0;2.0;1.0;4.0;0.0;0.0;78.0;70.0;43.0;42.0;530.0;433.0;84.0;76.0;17.0;8.0;12.0;12.0;19.0;11.0;13.0;14.0;16;2023-11-25;08:30:00;2.22;3.8;3.31;8;солнечно;8423.0;1;0;2
86;Зенит;3;ПФК Сочи;0;2.78;0.08;14.0;3.0;7.0;1.0;3.0;1.0;0.0;1.0;64.0;36.0;7.0;2.0;9.0;7.0;2.0;0.0;0.0;1.0;0.0;0.0;88.0;70.0;47.0;32.0;615.0;341.0;86.0;74.0;3.0;6.0;14.0;7.0;14.0;9.0;16.0;23.0;16;2023-11-25;06:15:00;1.33;5.79;11.0;14;солнечно;21964.0;1;0;1
87;Крылья Советов;3;Локомотив Москва;3;1.42;1.04;16.0;14.0;10.0;4.0;2.0;5.0;2.0;8.0;58.0;42.0;4.0;3.0;11.0;12.0;1.0;1.0;4.0;2.0;0.0;0.0;86.0;68.0;52.0;44.0;460.0;333.0;77.0;71.0;12.0;11.0;31.0;20.0;12.0;12.0;16.0;21.0;16;2023-11-25;04:00:00;2.56;3.75;2.79;6;переменная облачность;5924.0;1;0;0
88;Спартак;2;Ростов;1;1.68;1.58;11.0;14.0;3.0;6.0;4.0;3.0;4.0;2.0;53.0;47.0;8.0;6.0;10.0;6.0;3.0;5.0;0.0;0.0;0.0;0.0;77.0;66.0;39.0;37.0;511.0;437.0;77.0;76.0;11.0;10.0;16.0;11.0;15.0;22.0;11.0;18.0;15;2023-11-12;10:30:00;1.93;4.01;4.01;8;солнечно;10517.0;1;0;1
89;ПФК Сочи;0;Рубин;2;1.29;1.89;10.0;15.0;4.0;4.0;0.0;4.0;3.0;5.0;54.0;46.0;6.0;7.0;16.0;6.0;0.0;4.0;3.0;0.0;1.0;0.0;74.0;78.0;45.0;41.0;445.0;372.0;78.0;77.0;11.0;15.0;22.0;22.0;23.0;18.0;10.0;12.0;15;2023-11-12;10:00:00;2.26;3.45;3.54;15;небольшой дождь;2992.0;1;0;2
90;Динамо Москва;2;Оренбург;0;4.19;1.02;27.0;16.0;6.0;5.0;11.0;4.0;6.0;4.0;52.0;48.0;10.0;4.0;12.0;7.0;0.0;2.0;1.0;1.0;0.0;0.0;92.0;81.0;37.0;31.0;438.0;415.0;82.0;80.0;9.0;12.0;17.0;22.0;24.0;13.0;20.0;15.0;15;2023-11-12;07:30:00;1.75;4.53;4.5;8;солнечно;7298.0;1;0;1
91;Пари НН;0;Балтика;0;0.26;0.44;6.0;9.0;1.0;1.0;3.0;2.0;1.0;1.0;49.0;51.0;2.0;5.0;8.0;13.0;2.0;1.0;2.0;2.0;0.0;0.0;76.0;82.0;36.0;38.0;373.0;371.0;69.0;69.0;14.0;9.0;25.0;34.0;12.0;35.0;17.0;17.0;15;2023-11-12;05:00:00;2.74;3.13;3.01;7;переменная облачность;5921.0;1;0;0
92;Зенит;1;Краснодар;1;1.26;2.25;17.0;15.0;4.0;5.0;5.0;4.0;3.0;4.0;60.0;40.0;8.0;4.0;10.0;15.0;1.0;2.0;0.0;1.0;0.0;0.0;80.0;73.0;45.0;23.0;481.0;333.0;85.0;76.0;18.0;13.0;26.0;16.0;24.0;7.0;15.0;17.0;15;2023-11-11;10:30:00;1.69;4.04;5.67;14;солнечно;46701.0;1;0;0
93;Локомотив Москва;2;Ахмат;1;3.24;1.78;15.0;15.0;5.0;3.0;6.0;6.0;2.0;3.0;64.0;36.0;6.0;3.0;15.0;11.0;2.0;1.0;4.0;4.0;1.0;0.0;91.0;70.0;41.0;25.0;547.0;304.0;85.0;77.0;13.0;16.0;20.0;16.0;18.0;11.0;19.0;22.0;15;2023-11-11;07:30:00;1.79;4.18;4.6;8;солнечно;5306.0;1;0;1
94;Факел;1;ЦСКА Москва;1;1.38;0.68;16.0;7.0;6.0;2.0;4.0;3.0;1.0;5.0;61.0;39.0;8.0;3.0;11.0;12.0;3.0;0.0;1.0;0.0;0.0;0.0;47.0;31.0;27.0;21.0;405.0;269.0;70.0;54.0;12.0;15.0;29.0;35.0;34.0;12.0;8.0;6.0;15;2023-11-11;05:00:00;3.27;3.37;2.43;18;солнечно;13454.0;1;0;0
95;Крылья Советов;3;Урал;1;4.12;0.69;18.0;11.0;9.0;2.0;1.0;4.0;1.0;5.0;54.0;46.0;6.0;2.0;17.0;13.0;1.0;1.0;4.0;4.0;0.0;1.0;77.0;76.0;53.0;45.0;396.0;343.0;76.0;73.0;11.0;16.0;22.0;12.0;21.0;12.0;8.0;8.0;15;2023-11-11;05:00:00;2.03;3.7;3.96;6;переменная облачность;5249.0;1;0;1
96;ПФК Сочи;3;Динамо Москва;3;2.94;1.07;21.0;18.0;10.0;8.0;4.0;4.0;4.0;5.0;49.0;51.0;5.0;7.0;18.0;7.0;1.0;4.0;6.0;0.0;1.0;0.0;79.0;89.0;39.0;45.0;334.0;360.0;72.0;75.0;11.0;16.0;19.0;20.0;23.0;17.0;12.0;14.0;14;2023-11-06;10:30:00;3.27;3.71;2.27;15;небольшой дождь;4200.0;1;0;0
97;Урал;0;Рубин;1;1.17;0.86;21.0;6.0;7.0;2.0;6.0;1.0;1.0;8.0;67.0;33.0;8.0;3.0;4.0;14.0;3.0;1.0;1.0;2.0;0.0;0.0;74.0;55.0;36.0;25.0;622.0;302.0;81.0;66.0;18.0;7.0;28.0;19.0;24.0;10.0;13.0;13.0;14;2023-11-06;07:30:00;2.34;3.41;3.38;7;переменная облачность;4829.0;1;0;2
98;Оренбург;1;Ростов;1;1.83;2.15;24.0;19.0;10.0;7.0;4.0;6.0;2.0;6.0;42.0;58.0;8.0;5.0;11.0;11.0;4.0;1.0;5.0;2.0;0.0;0.0;73.0;71.0;51.0;48.0;320.0;432.0;72.0;75.0;13.0;13.0;15.0;22.0;25.0;28.0;12.0;17.0;14;2023-11-06;05:00:00;2.29;3.91;3.1;11;переменная облачность;3256.0;1;0;0
99;Локомотив Москва;1;Спартак;1;1.76;0.81;19.0;12.0;5.0;2.0;6.0;2.0;1.0;4.0;47.0;53.0;3.0;4.0;13.0;13.0;2.0;1.0;2.0;1.0;0.0;1.0;55.0;64.0;36.0;41.0;411.0;450.0;79.0;79.0;12.0;14.0;22.0;20.0;12.0;16.0;11.0;17.0;14;2023-11-05;10:30:00;2.67;3.6;2.76;8;солнечно;14523.0;1;0;0
100;ЦСКА Москва;3;Пари НН;2;1.63;1.2;13.0;8.0;7.0;2.0;0.0;3.0;1.0;4.0;62.0;38.0;8.0;2.0;15.0;21.0;1.0;2.0;5.0;4.0;0.0;0.0;91.0;69.0;41.0;25.0;445.0;276.0;80.0;68.0;23.0;15.0;25.0;17.0;19.0;9.0;9.0;11.0;14;2023-11-05;07:30:00;1.52;4.53;7.42;8;солнечно;6096.0;1;0;1
101;Краснодар;2;Крылья Советов;1;2.26;0.36;14.0;8.0;7.0;2.0;3.0;1.0;1.0;5.0;51.0;49.0;2.0;3.0;13.0;11.0;3.0;2.0;2.0;4.0;0.0;0.0;78.0;77.0;36.0;39.0;488.0;463.0;83.0;81.0;12.0;14.0;9.0;15.0;7.0;13.0;10.0;12.0;14;2023-11-05;05:00:00;1.79;3.95;4.93;21;солнечно;31055.0;1;0;1
102;Балтика;0;Зенит;2;0.8;2.11;5.0;10.0;1.0;4.0;2.0;2.0;3.0;1.0;36.0;64.0;4.0;2.0;10.0;6.0;2.0;2.0;0.0;0.0;0.0;0.0;74.0;92.0;37.0;47.0;359.0;675.0;73.0;83.0;8.0;11.0;19.0;22.0;20.0;11.0;7.0;13.0;14;2023-11-04;11:00:00;5.8;3.89;1.71;20;солнечно;16929.0;1;0;2
103;Ахмат;1;Факел;2;1.14;0.38;19.0;10.0;6.0;3.0;4.0;2.0;2.0;4.0;59.0;41.0;7.0;3.0;13.0;11.0;1.0;0.0;3.0;3.0;0.0;0.0;107.0;89.0;58.0;29.0;439.0;308.0;70.0;54.0;12.0;13.0;36.0;24.0;21.0;8.0;15.0;23.0;14;2023-11-04;08:30:00;2.06;3.68;3.87;16;местами дождь;4712.0;1;0;2
104;ЦСКА Москва;1;Краснодар;0;1.28;1.21;9.0;16.0;8.0;6.0;3.0;4.0;6.0;7.0;39.0;61.0;1.0;5.0;11.0;11.0;1.0;1.0;2.0;3.0;0.0;0.0;85.0;98.0;38.0;33.0;399.0;612.0;79.0;86.0;13.0;11.0;8.0;16.0;5.0;22.0;15.0;11.0;13;2023-10-29;11:30:00;2.4;3.63;3.08;8;солнечно;10777.0;1;0;1
105;Динамо Москва;2;Урал;1;1.28;1.66;14.0;14.0;6.0;6.0;5.0;3.0;5.0;4.0;55.0;45.0;7.0;6.0;17.0;12.0;2.0;3.0;3.0;1.0;0.0;0.0;93.0;88.0;49.0;36.0;446.0;447.0;79.0;75.0;15.0;20.0;21.0;19.0;13.0;22.0;14.0;18.0;13;2023-10-29;08:30:00;1.66;4.29;5.54;8;солнечно;7384.0;1;0;1
106;Пари НН;1;ПФК Сочи;0;0.44;2.1;6.0;18.0;2.0;5.0;1.0;4.0;5.0;1.0;37.0;63.0;1.0;4.0;18.0;14.0;4.0;0.0;3.0;0.0;0.0;0.0;68.0;87.0;27.0;41.0;292.0;476.0;67.0;81.0;13.0;19.0;15.0;21.0;6.0;29.0;17.0;12.0;13;2023-10-29;06:00:00;2.56;3.27;3.13;7;переменная облачность;4570.0;1;0;1
107;Зенит;2;Ахмат;1;1.77;0.81;13.0;12.0;3.0;3.0;4.0;2.0;1.0;1.0;65.0;35.0;5.0;3.0;7.0;8.0;0.0;1.0;2.0;1.0;0.0;0.0;94.0;81.0;45.0;37.0;677.0;358.0;85.0;75.0;9.0;6.0;18.0;17.0;16.0;6.0;17.0;16.0;13;2023-10-28;12:00:00;1.36;5.77;9.2;14;солнечно;17967.0;1;0;1
108;Крылья Советов;1;Оренбург;1;1.22;1.23;15.0;16.0;5.0;5.0;4.0;3.0;4.0;3.0;43.0;57.0;8.0;7.0;7.0;15.0;1.0;0.0;0.0;3.0;0.0;0.0;54.0;57.0;32.0;39.0;295.0;397.0;76.0;82.0;13.0;7.0;20.0;22.0;15.0;14.0;10.0;12.0;13;2023-10-28;09:30:00;2.12;3.85;3.52;6;переменная облачность;5659.0;1;0;0
109;Ростов;1;Локомотив Москва;0;1.94;0.95;16.0;16.0;5.0;6.0;5.0;5.0;7.0;3.0;52.0;48.0;6.0;7.0;11.0;19.0;3.0;6.0;1.0;2.0;0.0;0.0;69.0;69.0;38.0;37.0;354.0;323.0;75.0;72.0;24.0;16.0;21.0;19.0;19.0;15.0;13.0;6.0;13;2023-10-28;09:30:00;2.53;3.85;2.78;19;переменная облачность;11847.0;1;0;1
110;Факел;2;Спартак;0;1.52;0.51;10.0;9.0;3.0;2.0;0.0;4.0;2.0;2.0;46.0;54.0;3.0;4.0;15.0;16.0;7.0;1.0;1.0;4.0;0.0;1.0;61.0;60.0;36.0;25.0;265.0;315.0;54.0;59.0;16.0;20.0;26.0;34.0;18.0;15.0;18.0;18.0;13;2023-10-28;07:00:00;4.13;3.85;1.95;18;солнечно;11612.0;1;0;1
111;Рубин;1;Балтика;0;0.91;1.0708333333333333;11.0;5.0;3.0;1.0;2.0;3.0;1.0;2.0;57.0;43.0;13.0;5.0;9.0;14.0;1.0;1.0;1.0;4.0;0.0;0.0;69.0;67.0;36.0;40.0;374.6666666666667;459.9166666666667;73.66666666666667;77.41666666666667;15.0;10.0;29.0;18.0;14.166666666666666;13.666666666666666;13.416666666666666;13.833333333333334;13;2023-10-27;12:00:00;2.14;3.06;3.34;6;переменная облачность;2832.0;1;0;1
