;Команда_1;Голы_1;Команда_2;Голы_2;xG_1;xG_2;Удары_1;Удары_2;Удары в створ_1;Удары в створ_2;Блок-но ударов_1;Блок-но ударов_2;Сейвы_1;Сейвы_2;Владение %_1;Владение %_2;Угловые_1;Угловые_2;Нарушения_1;Нарушения_2;Офсайды_1;Офсайды_2;Желтые карточки_1;Желтые карточки_2;Красные карточки_1;Красные карточки_2;Атаки_1;Атаки_2;Опасные атаки_1;Опасные атаки_2;Передачи_1;Передачи_2;Точность передач %_1;Точность передач %_2;Штрафные удары_1;Штрафные удары_2;Вбрасывания_1;Вбрасывания_2;Навесы_1;Навесы_2;Отборы_1;Отборы_2;Раунд;Дата;Время;Кэф_1;Кэф_х;Кэф_2;Градусы;Погода;Зрители;Дома_1;Дома_2;Таргет
12;Зенит;0;Рубин;2;1.98;0.59;24.0;8.0;10.0;5.0;8.0;0.0;3.0;11.0;71.0;29.0;7.0;4.0;7.0;15.0;2.0;0.0;2.0;3.0;0.0;0.0;83.0;52.0;52.0;16.0;565.0;242.0;88.0;70.0;16.0;8.0;18.0;14.0;42.0;9.0;6.0;7.0;21;2024-04-24;13:30:00;1.38;5.15;10.0;14;солнечно;31584.0;1;0;2
13;Краснодар;3;Балтика;2;4.29;1.64;20.0;12.0;9.0;5.0;4.0;1.0;4.0;5.0;55.0;45.0;5.0;3.0;6.0;13.0;2.0;2.0;1.0;2.0;0.0;0.0;82.0;80.0;38.0;41.0;471.0;370.0;81.0;79.0;15.0;8.0;23.0;16.0;13.0;23.0;11.0;13.0;21;2024-04-24;13:30:00;1.75;3.96;5.24;21;солнечно;14683.0;1;0;1
14;Пари НН;2;Локомотив Москва;3;1.78;1.69;8.0;21.0;5.0;8.0;1.0;8.0;5.0;2.0;23.0;77.0;5.0;13.0;8.0;15.0;0.0;1.0;1.0;5.0;0.0;0.0;44.0;76.0;24.0;56.0;161.0;549.0;58.0;85.0;14.0;7.0;8.0;22.0;8.0;19.0;16.0;15.0;21;2024-04-24;11:15:00;4.11;3.63;2.01;7;переменная облачность;8085.0;1;0;2
15;Оренбург;1;Динамо Москва;2;1.93;1.47;19.0;11.0;3.0;5.0;4.0;0.0;2.0;4.0;56.0;44.0;10.0;3.0;11.0;13.0;3.0;1.0;3.0;2.0;0.0;0.0;70.0;61.0;57.0;43.0;420.0;348.0;83.0;76.0;13.0;14.0;9.0;14.0;43.0;11.0;9.0;15.0;21;2024-04-24;09:00:00;2.51;3.92;2.76;11;переменная облачность;4870.0;1;0;2
16;Ростов;1;Спартак;5;0.99;1.78;15.0;15.0;3.0;6.0;5.0;4.0;0.0;2.0;54.0;46.0;9.0;5.0;16.0;11.0;1.0;6.0;2.0;2.0;0.0;0.0;60.0;67.0;38.0;38.0;359.0;312.0;70.0;68.0;15.0;10.0;12.0;18.0;28.0;12.0;23.0;7.0;25;2024-04-21;13:30:00;2.35;3.43;3.34;19;переменная облачность;30593.0;1;0;2
17;ПФК Сочи;2;Урал;2;0.62;1.37;13.0;13.0;3.0;5.0;2.0;4.0;2.0;2.0;65.0;35.0;5.0;5.0;11.0;14.0;0.0;2.0;1.0;2.0;0.0;0.0;83.0;80.0;37.0;32.0;527.0;272.0;78.0;64.0;10.0;9.0;14.0;12.0;20.0;18.0;18.0;19.0;25;2024-04-21;11:15:00;2.21;3.45;3.66;15;небольшой дождь;3853.0;1;0;0
18;Зенит;1;Оренбург;0;0.46;0.52;10.0;11.0;3.0;6.0;2.0;2.0;4.0;2.0;62.0;38.0;3.0;4.0;7.0;14.0;2.0;0.0;1.0;4.0;0.0;0.0;90.0;66.0;40.0;38.0;633.0;382.0;89.0;79.0;13.0;9.0;17.0;11.0;13.0;13.0;16.0;12.0;25;2024-04-21;09:15:00;1.36;5.53;9.9;14;солнечно;17992.0;1;0;1
19;Пари НН;1;Динамо Москва;4;0.96;2.2;6.0;17.0;3.0;5.0;1.0;3.0;1.0;2.0;40.0;60.0;3.0;10.0;10.0;11.0;2.0;0.0;1.0;0.0;0.0;0.0;65.0;74.0;39.0;42.0;358.0;534.0;73.0;80.0;6.0;7.0;18.0;15.0;18.0;21.0;28.0;13.0;25;2024-04-21;07:00:00;3.54;3.6;2.2;7;переменная облачность;9736.0;1;0;2
20;ЦСКА Москва;1;Ахмат;2;0.99;0.58;8.0;13.0;2.0;4.0;5.0;4.0;1.0;1.0;53.0;47.0;3.0;4.0;13.0;21.0;0.0;2.0;3.0;3.0;2.0;0.0;60.0;60.0;13.0;27.0;435.0;377.0;75.0;80.0;16.0;7.0;21.0;16.0;10.0;22.0;6.0;10.0;25;2024-04-20;12:30:00;1.5;4.83;7.04;8;солнечно;6980.0;1;0;2
21;Балтика;2;Крылья Советов;1;1.67;1.74;20.0;9.0;5.0;4.0;6.0;2.0;1.0;2.0;49.0;51.0;4.0;3.0;11.0;5.0;1.0;2.0;3.0;2.0;0.0;0.0;94.0;86.0;55.0;37.0;408.0;439.0;71.0;73.0;5.0;12.0;19.0;10.0;25.0;12.0;17.0;13.0;25;2024-04-20;09:30:00;2.29;3.45;3.45;20;солнечно;12107.0;1;0;1
